Sample1,Delta1
6.72,8.05
5.12,7.12
4.85,25.06
4.45,18.79
12.19,92.69
12.19,10.25
9.99,1.25
13.19,9.59
25.59,35.12
13.19,10.79
8.59,25.99
7.72,11.32
92.02,25.39
91.97,6.25
11.65,7.92
11.25,9.99
2.19,90.56
2.05,6.34
8.65,8.52
9.72,3.49
38.32,10.39
38.12,11.84
11.85,24.22
11.32,9.62
27.99,40.19
27.39,9.46
10.99,1.12
10.79,9.24
9.72,92.04
12.92,91.95
6.45,92.02
4.32,12.25
10.19,11.32
11.85,10.92
6.79,1.19
10.52,4.99
92.59,3.52
7.52,13.85
1.25,9.32
9.85,9.59
37.85,37.99
10.25,38.79
25.99,39.19
12.13,9.12
25.92,8.39
5.12,8.19
10.85,22.79
8.72,24.06
92.55,26.19
92.77,9.59
92.59,9.39
92.3,12.92
8.25,15.12
11.32,10.72
12.05,25.65
11.12,3.19
2.25,4.52
1.65,3.92
1.39,10.92
1.52,9.92
9.59,8.05
10.92,6.32
10.12,9.25
11.25,6.12
38.12,92.1
39.99,92.61
38.72,11.92
38.72,12.52
11.39,1.52
11.25,0.99
11.99,8.99
10.32,11.19
22.72,40.59
23.25,40.59
27.25,11.05
26.39,7.59
12.25,24.99
10.12,25.59
13.59,17.59
11.45,15.99
23.26,24.05
28.32,26.45
18.99,4.39
15.39,15.79
91.85,7.79
92.25,10.25
92.54,6.59
11.45,8.52
13.32,92.61
12.32,92.76
1.45,92.84
1.12,92.96
0.99,10.99
11.39,11.52
9.19,12.92
13.79,11.25
40.12,0.99
38.25,0.99
42.12,1.59
13.32,1.59
11.12,8.25
12.92,11.85
25.45,11.39
26.32,13.99
24.99,40.25
12.92,40.12
11.19,40.59
10.86,42.99
21.25,7.19
23.85,10.25
15.65,9.59
5.32,9.39
6.52,24.19
4.12,23.99
7.65,26.05
7.72,23.59
12.05,10.72
8.79,11.32
11.79,12.06
27.39,9.85
93.22,27.19
93.47,20.19
19.45,14.59
20.65,17.32
0.99,14.85
1.05,19.59
10.39,15.32
9.32,45.92
8.05,10.39
7.39,11.52
9.52,9.25
10.52,12.19
5.99,10.59
7.52,7.05
39.65,8.85
37.52,9.12
14.05,93.21
12.52,91.94
26.72,11.79
